year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,11,51,3,2,0,0,0,1,0,0,127,79,0,0,0,48
2019,11,106,13,6.56,0.63,2.32,0,3.48,0,0,756,419,53,85,0,199
2019,11,135,11,6.02,0,3.04,0,1.94,0,0,778,565,0,119,0,94
2019,11,25,2,0.64,0,0,0,1.36,1,0,59,14,0,0,0,45
2019,11,3043,311,78.62,7.03,93.13,0,132.21,0,3,21529,8522,487,3304,0,9216
2019,11,51,7,2.83,0.13,2.52,0,1.52,0,0,286,110,14,76,0,86
2019,11,36,1,0,0,0.37,0,0.63,0,0,49,0,0,18,0,31
2019,11,157,14,10.86,0.34,2.6,0,0.19,0,1,675,599,10,61,0,5
2019,11,52,5,0.54,0,0.6,0,3.87,0,0,277,17,0,54,0,206
2019,11,82,9,3.29,0,1.51,0,4.19,0,0,557,229,0,47,0,281
2019,11,19,4,0.1,0,0.55,0,3.34,0,0,245,5,0,19,0,221
2019,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,77,7,1.21,1,2.17,0,2.62,0,0,238,45,49,47,0,97
2019,11,48,6,3,0,1.46,0,1.54,0,0,361,230,0,51,0,80
2019,11,296,36,6.37,0.83,18.28,0,10.51,0,1,2050,378,25,884,0,763
2019,11,196,14,7.15,1,0.57,0,5.28,0,0,628,360,66,11,0,191
2019,11,218,31,5.08,0.37,10.73,0,14.82,0,2,2196,431,117,511,0,1137
2019,11,167,19,7.87,0,2,0,9.14,1,0,1420,847,0,58,0,515
2019,11,217,17,5.9,0.09,2.13,0,8.89,0,0,1773,856,12,69,0,836
2019,11,43,7,2.64,0,1.56,0,2.8,0,0,333,138,0,45,0,150
2019,11,52,5,1.2,0,0.83,0,2.97,0,0,137,27,0,19,0,91
2019,11,85,10,2.93,0,2.33,0,4.75,0,0,537,96,0,108,0,333
2019,11,176,20,8.58,1,1.24,0,9.18,0,0,1593,514,73,55,0,951
2019,11,28,2,1,0,0,0,1,0,0,39,21,0,0,0,18
2019,11,79,8,1.27,0,2.05,0,4.68,0,0,303,43,0,53,0,207
2019,11,329,44,13.86,0.04,11.02,0,19.08,0,0,2364,798,12,393,0,1161
2019,11,254,36,14.03,0,6.73,0,15.23,0,1,2812,976,0,295,0,1541
2019,11,73,9,3.68,0,4.17,0,1.15,0,0,345,131,0,146,0,68
2019,11,39,3,0.12,0,0,0,2.88,0,0,85,3,0,0,0,82
2019,11,110,12,7.43,0,1.72,0,2.85,0,0,1715,1451,0,63,0,201
2019,11,799,97,29.54,1.5,17.62,0,48.33,4,0,6695,2368,58,660,0,3609
2019,11,136,15,5.57,0.08,5.84,0,3.51,1,1,1137,450,20,224,0,443
2019,11,68,7,2.14,1,0.29,0,3.56,0,0,771,177,135,50,0,409
2019,11,102,12,2.72,0,5.93,0,3.35,0,0,529,57,0,368,0,104
2019,11,100,17,2.89,0.53,6.59,0,7,0,0,839,281,33,234,0,291
2019,11,259,44,13.53,1.91,12.25,0,16.31,0,0,3423,1220,538,686,0,979
2019,11,1410,197,46.1,7.8,60.48,0,82.62,11,1,17346,5764,994,4117,0,6471
2019,11,182,20,9.69,0,4.56,0,5.75,2,1,1185,696,0,181,0,308
2019,11,60,7,3.41,0,0.45,0,3.14,0,1,430,279,0,26,0,125
2019,11,60,16,1.55,1.92,10.41,0,2.12,0,0,862,56,202,514,0,90
2019,11,29,4,3,0,0,0,1,0,0,830,811,0,0,0,19
2019,11,25,5,1.21,0,2.54,0,1.26,0,0,250,73,0,71,0,106
2019,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,55,6,2.18,0.42,0.28,0,3.13,0,0,201,71,21,8,0,101
2019,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,23,1,0,0,0,0,1,0,0,23,0,0,0,0,23
2019,11,142,6,3.78,0,0.26,0,1.96,0,0,232,126,0,16,0,90
2019,11,102,8,5.39,0,0.56,0,2.06,0,1,339,231,0,25,0,83
2019,11,128,15,3.15,0.93,4.57,0,6.35,1,0,1240,99,261,203,0,677
2019,11,137,21,8.99,0,2.37,0,9.64,1,0,1220,454,0,94,0,672
2019,11,166,19,7.68,0.45,3.58,0,7.29,1,0,2035,972,53,150,0,860
2019,11,69,11,4.43,0,1.74,0,4.83,1,0,551,211,0,63,0,277
2019,11,76,4,3,0,0,0,1,0,1,146,131,0,0,0,15
2019,11,109,5,1,0,2.09,0,1.91,0,0,448,72,0,59,0,317
2019,11,72,19,6.28,0.21,9.97,0,2.54,0,0,1056,480,18,321,0,237
2019,11,219,21,8.34,0,2.87,0,9.79,2,0,1386,478,0,180,0,728
2019,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,135,11,3.3,0,1.1,0,6.6,0,0,606,126,0,71,0,409
2019,11,1571,120,30.3,1.08,34.19,1,53.43,3,0,8883,3175,77,1371,27,4233
2019,11,69,13,6.3,0.62,3.48,0,2.6,0,0,1323,933,36,163,0,191
2019,11,228,28,9.7,0.27,8.37,0,9.66,1,0,1571,778,27,282,0,484
2019,11,78,5,1.74,0,1.37,0,1.89,0,0,177,80,0,33,0,64
2019,11,2386,426,60.97,2.85,218.43,0,143.75,0,2,31295,8948,150,10935,0,11262
2019,11,18,2,0.82,0,0.36,0,0.82,0,0,63,19,0,7,0,37
2019,11,46,6,1.31,0.28,2.18,0,2.23,0,0,428,31,24,154,0,219
2019,11,159,25,6.99,0,9.16,0,8.84,0,0,1232,458,0,294,0,480
2019,11,45,5,2.25,0,0.82,0,1.92,1,0,291,127,0,42,0,122
2019,11,3,1,0.85,0,0.15,0,0,0,0,62,53,0,9,0,0
2019,11,117,20,4.72,0,5.89,0,9.39,0,0,1204,247,0,288,0,669
2019,11,24,7,2.01,0,0.1,0,4.89,0,0,1438,644,0,5,0,789
2019,11,27,3,3,0,0,0,0,0,0,130,130,0,0,0,0
2019,11,80,8,4.11,0,0.09,0,3.8,0,0,543,322,0,2,0,219
2019,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,98,18,7.59,0,2.98,0,7.42,0,0,911,374,0,139,0,398
2019,11,1023,132,22.36,3.79,36.91,0,68.94,2,0,8347,1628,352,1941,0,4426
2019,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,100,8,3.1,0,2,0,2.9,0,2,400,164,0,50,0,186
2019,11,65,9,3.31,0,2.82,0,2.87,0,0,378,139,0,109,0,130
2019,11,143,12,4,0.17,7.14,0,0.69,6,1,525,234,21,245,0,25
2019,11,229,25,12.5,0,6.15,0,6.35,0,0,1921,1299,0,261,0,361
2019,11,55,4,2.96,0,0.04,0,1,0,0,128,92,0,1,0,35
2019,11,143,15,4.22,0.15,4.33,0,6.3,0,0,1144,325,11,248,0,560
2019,11,371,35,10.55,0,8.26,0,16.19,1,0,2216,521,0,415,0,1280
2019,11,198,36,10.61,0.1,7.49,0,17.8,0,0,2714,942,22,340,0,1410
2019,11,698,55,16.39,0,12.97,0,25.64,0,0,2902,762,0,575,0,1565
2019,11,220,25,7.78,0,10.3,0,6.92,0,0,1391,592,0,331,0,468
2019,11,82,9,6.37,0,1.56,0,1.07,0,0,422,287,0,52,0,83
2019,11,173,19,11.02,0,2.32,0,5.67,0,0,1433,806,0,106,0,521
2019,11,49,2,0.33,0,0.67,0,1,0,0,150,9,0,18,0,123
2019,11,55,9,1.79,0,2.76,0,4.45,0,0,948,79,0,574,0,295
2019,11,107,13,2.76,0,5.15,0,5.09,0,0,602,145,0,174,0,283
2019,11,20,6,2.98,0,0.89,0,2.13,0,0,249,129,0,36,0,84
2019,11,109,1,1,0,0,0,0,0,2,37,37,0,0,0,0
2019,11,77,8,4.37,0,1.23,0,2.4,0,0,378,177,0,45,0,156
2019,11,114,18,5.23,0,2.81,0,9.96,0,0,943,343,0,129,0,471
2019,11,111,6,2.35,0,0.02,0,3.63,0,0,293,174,0,1,0,118
2019,11,80,4,3.1,0,0,0,0.9,0,0,150,94,0,0,0,56
2019,11,74,7,2.83,0,1,0,3.17,0,0,362,150,0,15,0,197
2019,11,25,4,2.92,1,0,0,0.08,0,0,243,145,94,0,0,4
2019,11,56,8,4.8,0,1.4,0,1.8,0,0,366,163,0,55,0,148
2019,11,6,1,1,0,0,0,0,0,0,67,67,0,0,0,0
2019,11,373,46,11.04,0.8,9.43,0,24.73,0,2,3094,749,63,571,0,1711
2019,11,182,24,8.24,0.48,5.9,0,9.37,0,0,999,484,15,219,0,281
2019,11,274,68,23.85,3.01,20.79,0,20.35,2,0,3155,1043,537,648,0,927
2019,11,88,7,2.44,0,2.11,0.75,1.7,0,0,229,115,0,43,21,50
2019,11,47,16,3.73,1,2.78,0,8.49,0,0,1238,334,89,118,0,697
2019,11,1067,147,67.37,1.13,28.53,0,49.97,3,1,7973,3735,351,872,0,3015
2019,11,928,132,49.33,1.54,32.01,0.23,48.89,2,0,8166,3616,268,1034,10,3238
2019,11,436,55,30.8,0.78,10.51,0,12.91,3,0,2397,1284,122,287,0,704
2019,11,23,5,1.26,0,1,0,2.74,0,0,355,55,0,63,0,237
2019,11,628,83,36.89,0.09,18.44,0.32,27.26,3,1,5658,3083,23,559,12,1981
2019,11,59,5,2.17,0,1.89,0,0.93,0,0,167,74,0,75,0,18
2019,11,1974,353,82.33,2.93,160.3,0.32,107.11,11,0,21692,6157,317,7216,7,7995
2019,11,73,13,7.93,0.92,0.84,0,3.31,0,0,846,443,70,31,0,302
2019,11,77,33,10.44,0,16.06,0,6.5,0,1,1248,461,0,523,0,264
2019,11,497,70,29.1,0.64,16.12,0,24.15,1,0,3857,1243,105,423,0,2086
2019,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,50,13,6.9,0,3.06,0,3.04,0,0,574,308,0,123,0,143
2019,11,163,23,10.12,0,4.57,0,8.31,2,0,950,392,0,108,0,450
2019,11,267,39,15.67,0,9.17,0,14.16,0,0,1648,721,0,202,0,725
2019,11,8467,839,289.51,5.29,200.53,2.58,341.08,32,13,62163,30936,668,5748,95,24716
2019,11,262,60,20.76,0.12,14.66,0,24.46,1,0,2884,986,8,450,0,1440
2019,11,133,21,11.09,0,3.35,0,6.57,0,0,1582,1001,0,127,0,454
2019,11,80,22,5.99,0,6.99,0,9.02,0,0,1793,868,0,199,0,726
2019,11,2143,279,104.52,1.76,65.34,0.51,106.87,14,3,16955,6288,219,1999,23,8426
2019,11,820,148,59.62,5.52,41.6,0.17,41.09,8,0,7401,2676,493,1443,10,2779
2019,11,12815,2003,534.84,21.71,703.98,4.9,737.58,34,7,129869,51004,2837,22093,139,53796
2019,11,106,21,5.56,0,4.74,0,10.7,0,0,733,134,0,140,0,459
2019,11,378,50,16.62,0,15.98,0,17.4,0,0,2511,633,0,601,0,1277
